,secchi,chlorophyll_a,tsi,turbidity,salinity,do,ph
2026-01-31,1.4381673533583625,21.54031135659163,60.24855691465656,87.25327260202008,0.10271094336768878,9.57722277213565,7.566429850171421
2026-02-28,1.4234415220234844,22.78427937416374,60.01979304146071,86.57677113055463,0.08306664678666605,9.57710454135805,7.525807528893522
2026-03-31,1.4344081742147619,23.48034605860092,59.83339207583645,88.27421562112954,0.09422891158355291,9.576904422472012,7.470416527127925
2026-04-30,1.4733731189916897,25.45347058302097,61.12215425089293,78.14998769795507,0.08151690594152536,9.57693381619483,7.428548743892903
2026-05-31,1.464526670647716,25.7870675091653,60.59026906769285,75.5315119233477,0.0757491278438491,9.576958568758556,7.419786316569345
2026-06-30,1.4951449264016021,23.930049826006133,59.844659231877436,78.78280108913809,0.10775338794786449,9.576839733799792,7.383772105279036
2026-07-31,1.4907963815983347,23.721801010139867,59.61695089733531,88.81775907338888,0.112779234711472,9.576901985168664,7.402205874684617
2026-08-31,1.482909167402057,24.99541868038825,59.27020819077761,90.3348738901849,0.17275555774698642,9.576982989678074,7.363995357297002
2026-09-30,1.5144201568467412,22.92864712811928,59.72209854032766,96.97241883380734,0.147224020102504,9.576853831445634,7.319073708592414
2026-10-31,1.5259209208258346,23.99656863274257,59.759629418832226,88.22257958906708,0.13727348422205823,9.576895077275566,7.307704822808464
2026-11-30,1.528320235273102,26.91532384192956,60.18089801413692,82.3639310083409,0.0966801230900145,9.576857201278791,7.348806482935893
2026-12-31,1.5807530648492958,27.698667495134675,59.23395464064843,89.14170602057241,0.143144333113621,9.576770065561403,7.377482642833747
