,secchi,chlorophyll_a,tsi,turbidity,salinity,do,ph
2026-01-31,1.4284154769510076,17.953361119196696,58.65995439644976,94.68088775920046,0.08214936019196231,9.578105730049701,7.448473428940603
2026-02-28,1.3906441702397334,16.872193463366855,60.13544974098593,93.84866693550032,0.0717005916185566,9.578037094059479,7.461555745518169
2026-03-31,1.3685668488518314,20.445793436152307,60.09230258934318,99.75371913017905,0.0729616700171715,9.578050393874987,7.4794922494145
2026-04-30,1.3817812160398406,22.43945863213417,59.559571888645095,99.25092862196787,0.06430465739066624,9.578071826401773,7.441344255796595
2026-05-31,1.353426116429224,16.868017437714972,59.85592472682756,103.46709000879967,0.05459342991554066,9.578039548939847,7.457822607102075
2026-06-30,1.4119493763718085,14.90596983902526,59.72603038212839,97.83982191467427,0.03568406050607909,9.578068400132416,7.423895770166078
2026-07-31,1.3663174516796714,12.101105793877004,59.5533562574969,106.1014029763738,0.06146294903436603,9.577939606018749,7.405133821565799
2026-08-31,1.3753806171864005,12.107787243724042,59.41272305645647,104.46618596851596,0.04904502722981697,9.577906708624466,7.41956684696575
2026-09-30,1.2878469068517804,14.578528225968784,59.526745104799176,113.1926100168061,0.0545846565686355,9.57790167083221,7.412417294096821
2026-10-31,1.3216893421207376,10.989516578687205,59.73317552531159,113.58509090294126,0.05281984602525662,9.577908792249199,7.426837672956755
2026-11-30,1.3254999121949702,8.996811028946835,60.03459483032798,119.31584107573127,0.05111628407507409,9.577972953420339,7.405530552227179
2026-12-31,1.2879989977489248,6.033317109819062,59.40982652186577,121.85067856763726,0.0531495240420362,9.57792612934346,7.438185795355254
