,secchi,chlorophyll_a,tsi,turbidity,salinity,do,ph
2026-01-31,1.4872788340947087,12.581086665071272,55.413772998247055,109.64958283178154,0.014454559798038455,9.577086207835237,7.434211335651793
2026-02-28,1.5718194574535707,11.770845056094634,54.76288924108024,115.42177771084451,0.016370082810661667,9.577072561341247,7.289748042147331
2026-03-31,1.5509564982633255,11.433370577149017,54.80146620376707,115.74437904328737,0.014430679138710158,9.577036744167978,6.9374640642612535
2026-04-30,1.465124210486997,11.461243271876983,54.552251302531545,115.22549971460512,0.00839836760492446,9.577064814536685,7.050555618327325
2026-05-31,1.476069472366211,10.399505697842185,55.35313584583582,121.34649140091066,0.011148292921292153,9.577067707926759,7.09048983309129
2026-06-30,1.4666129499033602,9.336796682583712,54.82769249279842,110.83380435098015,0.0,9.577088377639948,7.05060430423348
2026-07-31,1.4776033189399607,9.72294749549974,54.006794558281605,111.56673073310319,0.0,9.57702637501481,6.910532177986171
2026-08-31,1.458901191813704,10.103090475294628,53.4949439242462,116.23445032931374,0.0,9.576969648391978,6.885285097079344
2026-09-30,1.4330754684403515,10.384623749528599,53.974390690234195,118.02069390888539,0.0008537384639117941,9.576908720647813,7.170371239192068
2026-10-31,1.4722337224660271,10.918350839690863,54.43890789491475,126.44373700393022,0.0,9.576920549763708,7.155721748365175
2026-11-30,1.49976369230126,10.479450089520055,54.46572268672121,124.57116800685753,0.0,9.577015682329048,7.104771524187941
2026-12-31,1.5112914532701873,10.319376309964397,54.445389815617354,122.79846935884508,0.003388911731934508,9.577032375981949,7.2162888642453655
