date,secchi,chlorophyll_a,tsi,turbidity,salinity,do,ph
2018-02-28,1.255320233509771,26.971041893979063,62.68500779937985,69.8681316772911,0.1458500628103475,9.576260330047369,7.986923392576186
2018-03-31,1.2649423405758333,29.464372638852495,63.273846643002855,67.3427329464444,0.157389370873479,9.576245291935171,8.001984752143558
2018-04-30,1.2742540570913774,31.877273359697753,63.84369068521867,64.8987986907863,0.16855644319263852,9.576230738923368,8.016560261402306
2018-05-31,1.2838761641574397,34.370604104571186,64.43252952884168,62.37339995993958,0.18009575125577,9.57621570081117,8.031621620969679
2018-06-30,1.2931878806729837,36.78350482541644,65.00237357105749,59.92946570428148,0.19126282357492952,9.576201147799367,8.046197130228427
2018-07-31,1.302809987739046,39.276835570289876,65.59121241468051,57.40406697343477,0.202802131638061,9.576186109687171,8.0612584897958
2018-08-31,1.312432094805108,41.77016631516331,66.18005125830352,54.87866824258806,0.2143414397011925,9.576171071574974,8.076319849363173
2018-09-30,1.321743811320652,44.183067036008566,66.74989530051933,52.43473398692996,0.225508512020352,9.57615651856317,8.090895358621921
2018-10-31,1.3313659183867144,46.676397780882,67.33873414414234,49.90933525608325,0.23704782008348346,9.576141480450973,8.105956718189294
2018-11-30,1.3406776349022584,49.08929850172726,67.90857818635816,47.46540100042515,0.248214892402643,9.57612692743917,8.120532227448042
2018-12-31,1.3502997419683207,51.58262924660069,68.49741702998116,44.94000226957844,0.25975420046577447,9.576111889326972,8.135593587015414
2019-01-31,1.1767820325880067,43.80810166998163,66.4811049862263,56.2855165177125,0.2014914976004846,9.576405853730265,8.125322434338239
2019-02-28,1.1829263044438405,43.953176480210054,65.9581287273781,58.496848660761316,0.194622503723767,9.576530740595263,8.133067893644375
2019-03-31,1.2080706255330644,37.079165524625814,64.86559319629863,60.061223966305555,0.17813071936951097,9.57667351212807,8.080705798408253
2019-04-30,1.3214761366951824,34.142514212314225,64.19486380132122,63.97441181078589,0.18509731049193584,9.576818266223682,8.005750073523641
